gene,donor_3_jejunum
gene_1693452,2
gene_2272843,2
gene_3084947,2
DSM22607_4_GL0244802,2
10_GL0027203,2
HF-F_14_GL0387735,2
1-1_GL0080090,2
gene_3266555,2
10_GL0097618,2
6-5_GL0021996,2
2-1_GL0032703,2
DSM22607_12_GL0223217,2
G1-7A_GL0044298,2
gene_3933369,2
ERR1212013_Scaf246_1638,2
Group2-8A_GL0129567,2
11_GL0028336,2
NZ_QWMU01000062.1_cds_WP_004051772.1_1662,2
gene_2861157,2
S-Fe10_GL0025031,2
4-5_GL0060632,2
gene_1028776,2
gene_1563815,2
NZ_KB822413.1_cds_WP_004039602.1_99,2
MC-0-1_GL0079383,2
2-5_GL0003800,2
41_GL0042677,2
7-2_GL0098621,2
NZ_QWMU01000064.1_cds_WP_089135702.1_1690,2
15_GL0148707,2
3-6_GL0039520,2
NZ_KB822452.1_cds_WP_004074701.1_2574,2
DSM22607_9_GL0014918,2
NZ_CP021422.1_cds_WP_066535543.1_743,2
NZ_QWMU01000008.1_cds_WP_004047283.1_2081,2
gene_4359647,2
gene_1726593,2
2-1_GL0004658,2
7-4_GL0094493,2
gene_1715285,2
HF-F_7_GL0043756,2
DSM22607_8_GL0101301,2
3-5_GL0088562,2
Food_3_GL0075062,2
gene_1126815,2
NZ_RAYO01000021.1_cds_WP_120395594.1_262,2
AF73-05_11_GL0354458,2
NZ_CP022713.1_cds_WP_065542970.1_2535,2
NZ_NHTR01000009.1_cds_6901,2
gene_4501237,2
S-Fe12_GL0037223,2
NZ_KB822413.1_cds_WP_004040236.1_406,2
22_GL0033316,2
5-4_GL0087456,2
gene_4151868,2
gene_1787756,2
gene_1088209,2
gene_4423307,2
6-4_GL0075813,2
HF-S_14_GL0350643,2
20_GL0176544,2
gene_3044880,2
gene_3075621,2
5-4_GL0083372,2
gene_2429128,2
NZ_RAYH01000021.1_cds_WP_120363177.1_2339,2
S-Fe16_GL0034175,2
2A-dyr13-06_GL0042158,2
gene_3143626,2
53_GL0076557,2
gene_2143993,2
gene_4324967,2
NZ_RAYU01000233.1_cds_WP_120474592.1_2396,2
gene_3203077,2
DSM22607_4_GL0322342,2
MC-0-1_GL0059677,2
gene_980407,2
NZ_QIBY01000008.1_cds_WP_123185605.1_1182,2
gene_2959214,2
10_GL0030301,2
ERR1211992_Scaf16_1499,2
1-1_GL0024727,2
gene_1041002,2
NZ_QWMU01000023.1_cds_WP_004047607.1_730,2
gene_282828,2
gene_3296326,2
10_GL0036580,2
gene_1825912,2
OB-1_12_GL0153641,2
18_GL0018794,2
45_GL0113432,2
NZ_NHMT01000001.1_cds_WP_065533633.1_793,2
G1-4A_GL0070017,2
NZ_QWMU01000045.1_cds_WP_089135501.1_1315,2
gene_950980,2
10_GL0071842,2
gene_2318072,2
HF-F_13_GL0240525,2
5-2_GL0061383,2
gene_3180665,2
NZ_RAYX01000084.1_cds_1731,2
gene_4084302,2
Group2-1A_GL0071457,2
18_GL0014513,2
gene_2602923,2
Chow_5_GL0151445,2
13_GL0039231,2
S-Fe10_GL0164004,2
NZ_RAYY01000020.1_cds_WP_120423153.1_1590,2
20_GL0148436,2
NZ_RAZB01000004.1_cds_WP_120360866.1_1225,2
HF-F_13_GL0237884,2
gene_4488109,2
2-1_GL0100720,2
gene_2867437,2
gene_1486764,2
32_GL0035424,2
Food_10_GL0020290,2
gene_1869269,2
12_GL0095837,2
MC-6-4_GL0064152,2
S-Fe7_GL0013287,2
HF-S_6_GL0188476,2
3-3_GL0013688,2
S-Fe6_GL0010743,2
gene_1822051,2
NZ_QWMU01000026.1_cds_WP_119448271.1_811,2
1-8_GL0092996,2
7_GL0038877,2
MH-0-5_GL0087161,2
NZ_CP021421.1_cds_WP_068960321.1_6,2
1A-dyr2-07_GL0008256,2
Food_4_GL0212641,2
gene_82678,2
NZ_QIBY01000010.1_cds_WP_123185767.1_1347,2
11_GL0046259,2
gene_1672714,2
gene_854737,2
HF-S_13_GL0102552,2
29_GL0046982,2
AF73-05_13_GL0194492,2
gene_659209,2
S-Fe1_GL0077902,2
10_GL0080461,2
15_GL0093854,2
8-1_GL0036570,2
G1-7A_GL0125019,2
NZ_RAYX01000049.1_cds_WP_120377233.1_1276,2
MH-6-5_GL0066190,2
2-1_GL0065658,2
gene_671559,2
35_GL0101980,2
ERR1211992_Scaf28_2060,2
NZ_QWMU01000012.1_cds_WP_004048226.1_240,2
S-Fe2_GL0177060,2
gene_2888333,2
gene_3983259,2
gene_4459368,2
NZ_QWMU01000110.1_cds_WP_039936110.1_43,2
gene_3398792,2
gene_2076111,2
gene_2070430,2
HF-F_13_GL0247847,2
gene_991896,2
NZ_NHMT01000001.1_cds_WP_065533527.1_966,2
gene_4375498,2
NZ_KB822413.1_cds_WP_004039669.1_142,2
gene_2626281,2
gene_1876570,2
DSM22607_5_GL0009883,2
NZ_RAYX01000025.1_cds_WP_120376918.1_832,2
gene_3619585,2
Food_10_GL0020125,2
Food_7_GL0347315,2
NZ_NHMT01000001.1_cds_WP_003665864.1_297,2
gene_807935,2
AF73-05_13_GL0333744,2
gene_3796130,2
AF73-05_13_GL0065494,2
gene_1550913,2
Food_4_GL0051683,2
gene_110965,2
DSM22607_8_GL0125713,2
gene_238480,2
MC-0-3_GL0048395,2
gene_3420352,2
4-1_GL0034461,2
gene_4243321,2
10_GL0001543,2
33_GL0082838,2
gene_1515644,2
NZ_QWMU01000138.1_cds_WP_004047499.1_268,2
HF-S_11_GL0096107,2
11_GL0057109,2
gene_4521433,2
HF-F_13_GL0261643,2
gene_1808105,2
47_GL0158017,2
6-7_GL0094259,2
gene_1662751,2
ERR1211992_Scaf16_1519,2
NZ_KE159646.1_cds_WP_016308643.1_395,2
11_GL0088409,2
NZ_KB822413.1_cds_WP_004039650.1_133,2
gene_2939656,2
NZ_RAZK01000105.1_cds_WP_120486486.1_91,2
NZ_NHMT01000001.1_cds_WP_019254016.1_211,2
8-6_GL0034180,2
NZ_KB822406.1_cds_WP_081610253.1_1108,2
gene_728710,2
Chow_6_GL0140855,2
HF-F_13_GL0168735,2
gene_4211191,2
11_GL0106908,2
gene_2446233,2
NZ_QWMU01000033.1_cds_WP_004047812.1_1028,2
11_GL0137076,2
gene_169787,2
HF-S_4_GL0002762,2
gene_1850943,2
gene_1457182,2
AF73-05_11_GL0024449,2
gene_2432775,2
NZ_AUGK01000019.1_cds_WP_028027540.1_2323,2
Group2-1A_GL0031551,2
gene_1389293,2
NZ_RAZK01000036.1_cds_WP_120484772.1_3942,2
NZ_RAZH01000003.1_cds_WP_120391736.1_1720,2
HF-F_13_GL0355967,2
NZ_KB822445.1_cds_WP_004072172.1_1828,2
HF-F_2_GL0078901,2
OB-1_11_GL0042828,2
gene_1392091,2
11_GL0050355,2
gene_250797,2
3-8_GL0049027,2
1-8_GL0031410,2
gene_3774965,2
gene_3968123,2
HF-F_13_GL0132291,2
gene_2287974,2
gene_3484981,2
AF73-05_11_GL0047363,2
15_GL0150399,2
gene_1750200,2
NZ_RAYX01000029.1_cds_WP_120376994.1_911,2
NZ_QWMU01000048.1_cds_WP_119448374.1_1374,2
HF-F_13_GL0237689,2
17_GL0030835,2
gene_2282922,2
gene_777104,2
NZ_QWMU01000008.1_cds_WP_004047304.1_2072,2
NZ_QWMU01000019.1_cds_WP_004051437.1_537,2
gene_2091075,2
gene_2166140,2
2A-dyr16-06_GL0029103,2
2-4_GL0035270,2
gene_2803717,2
11_GL0014323,2
gene_3874249,2
NZ_RAYX01000043.1_cds_WP_120377173.1_1207,2
gene_1682746,2
54_GL0072091,2
gene_2559055,2
gene_2326522,2
gene_2804097,2
gene_1486757,2
11_GL0028526,2
gene_1351654,2
17_GL0035806,2
gene_1078938,2
S-Fe1_GL0106637,2
2_GL0002079,2
Chow_3_GL0132772,2
2A-dyr13-07_GL0003493,2
gene_198287,2
AF73-05_4_GL0127615,2
NZ_RAYX01000057.1_cds_WP_120377299.1_1398,2
S-Fe1_GL0062967,2
HF-F_13_GL0492133,2
5-2_GL0030871,2
gene_803834,2
gene_3219125,2
DSM22607_8_GL0036394,2
NZ_QWMU01000060.1_cds_WP_119448419.1_1618,2
NZ_NHMT01000001.1_cds_WP_084405192.1_1757,2
11_GL0060827,2
NZ_NHMT01000001.1_cds_WP_065533452.1_1106,2
NZ_RAZG01000155.1_cds_884,2
7-1_GL0018634,2
gene_3001830,2
10_GL0030344,2
2-1_GL0003479,2
NZ_KB822413.1_cds_WP_004040287.1_436,2
4-7_GL0009957,2
gene_4303281,2
gene_3092312,2
10_GL0030537,2
NZ_KB822413.1_cds_WP_004039941.1_274,2
3-5_GL0077829,2
Group2-5A_GL0030422,2
gene_987633,2
gene_2053749,2
NZ_RAYH01000007.1_cds_WP_002517111.1_1223,2
17_GL0021418,2
22_GL0035504,2
HF-F_13_GL0375681,2
HF-F_13_GL0323797,2
gene_1224131,2
gene_353116,2
gene_1689723,2
2A-dyr13-07_GL0000150,2
20_GL0037236,2
gene_1431879,2
DSM22607_9_GL0132822,2
gene_4029596,2
NZ_NHMT01000001.1_cds_WP_035170662.1_523,2
gene_4508555,2
NZ_NHMT01000001.1_cds_WP_065533370.1_1263,2
NZ_RAYH01000003.1_cds_WP_120362961.1_421,2
gene_1101230,2
gene_1454499,2
22_GL0062022,2
2-2_GL0033213,2
3-5_GL0090384,2
2-1_GL0104192,2
NZ_NHMT01000001.1_cds_WP_065533601.1_850,2
gene_3212577,2
S-Fe20_GL0098308,2
6-8_GL0064984,2
gene_462301,2
23_GL0018859,2
17_GL0126633,2
gene_1130968,2
gene_1336577,2
gene_1990568,2
gene_4020360,2
10_GL0082330,2
gene_684224,2
2_GL0018473,2
gene_2500311,2
HF-S_6_GL0038330,2
NZ_NHMT01000001.1_cds_WP_065532674.1_628,2
gene_146876,2
gene_2384352,2
gene_420008,2
HF-S_3_GL0077443,2
11_GL0019978,2
NZ_RAYH01000015.1_cds_WP_002516082.1_1934,2
NZ_KB822413.1_cds_WP_004039767.1_187,2
18_GL0007973,2
NZ_AUGK01000006.1_cds_WP_028026647.1_1194,2
gene_3953907,2
4-7_GL0131549,2
S-Fe19_GL0093069,2
HF-F_13_GL0423569,2
NZ_NHMT01000001.1_cds_WP_065532618.1_736,2
OB-1_1_GL0099770,2
8-6_GL0018693,2
S-Fe3_GL0143390,2
gene_3154743,2
5-8_GL0043889,2
gene_3922143,2
NZ_QWMU01000067.1_cds_WP_119448436.1_1735,2
gene_3694928,2
DSM22607_12_GL0195303,2
G1-3A_GL0091741,2
gene_2564108,2
gene_4505023,2
gene_2576533,2
gene_2002690,2
gene_2045533,2
Food_9_GL0168155,2
gene_2818861,2
Chow_7_GL0148588,2
DSM22607_8_GL0145801,2
gene_3616450,2
G1-8A_GL0002122,2
Food_7_GL0153805,2
6-3_GL0094803,2
gene_1283978,2
NZ_QWMU01000096.1_cds_WP_004049139.1_2139,2
7-5_GL0060982,2
2A-dyr13-07_GL0027092,2
Group2-5A_GL0115804,2
HF-S_6_GL0186144,2
NZ_NHMT01000001.1_cds_WP_065533240.1_1499,2
S-Fe1_GL0120304,2
2A-dyr14-07_GL0041571,2
gene_366339,2
gene_1710699,2
NZ_NHMT01000001.1_cds_WP_065533181.1_1643,2
Food_11_GL0327949,2
NZ_RAYH01000016.1_cds_WP_002519827.1_2108,2
NZ_QWMU01000121.1_cds_WP_004049129.1_131,2
MH-6-3_GL0019416,2
gene_1379111,2
10_GL0000850,2
S-Fe18_GL0083941,2
gene_2996193,2
gene_1158670,2
7-4_GL0024065,2
gene_2819790,2
gene_353124,2
gene_3570007,2
NZ_RAYX01000109.1_cds_WP_120377605.1_44,2
DSM22607_5_GL0110936,2
gene_1601078,2
gene_2429127,2
gene_2836084,2
Food_6_GL0080615,2
DSM22607_3_GL0331612,2
Food_10_GL0241967,2
gene_1133380,2
MC-6-2_GL0040513,2
NZ_QWMU01000058.1_cds_WP_004048886.1_1596,2
HF-F_13_GL0174455,2
12_GL0010400,2
11_GL0044516,2
HF-F_11_GL0222492,2
gene_2003030,2
gene_420006,2
4-3_GL0007571,2
gene_2843321,2
HF-F_11_GL0136131,2
Group2-2A_GL0072646,2
gene_560679,2
2A-dyr13-07_GL0016815,2
gene_1301415,2
5-3_GL0040805,2
gene_4091757,2
10_GL0054033,2
38_GL0004120,2
MH-0-4_GL0088764,2
MC-6-1_GL0062576,2
G1-3A_GL0095203,2
HF-F_13_GL0371464,2
HF-F_13_GL0385145,2
gene_1658469,2
DSM22607_9_GL0373575,2
gene_3954299,2
gene_778093,2
NZ_KB822413.1_cds_WP_004039391.1_7,2
1A-dyr2-07_GL0054172,2
AF73-05_1_GL0319518,2
NZ_NHMT01000001.1_cds_WP_065533635.1_791,2
MH-0-5_GL0052970,2
32_GL0043560,2
gene_4606571,2
NZ_RAYX01000110.1_cds_46,2
2-2_GL0002764,2
6-7_GL0035167,2
NZ_RAYX01000025.1_cds_WP_120376926.1_840,2
gene_3322785,2
gene_2680263,2
41_GL0073103,2
NZ_RAYQ01000059.1_cds_WP_120472472.1_3542,2
39_GL0110855,2
7-8_GL0047573,2
OB-1_7_GL0185668,2
2A-dyr13-07_GL0029172,2
gene_478755,2
6-3_GL0117449,2
gene_2593220,2
G1-7A_GL0075669,2
gene_1815261,2
NZ_KB822413.1_cds_WP_004040308.1_455,2
gene_2299080,2
gene_655161,2
Food_11_GL0107008,2
18_GL0177596,2
gene_3408417,2
S-Fe16_GL0107300,2
NZ_NHMT01000001.1_cds_WP_065533595.1_857,2
10_GL0088064,2
S-Fe1_GL0072710,2
gene_4492386,2
S-Fe12_GL0057299,2
gene_3223453,2
gene_1334489,2
2B-dyr24-06_GL0028883,2
4-4_GL0001215,2
10_GL0046428,2
Group2-8A_GL0207897,2
NZ_RAZA01000128.1_cds_293,2
18_GL0057000,2
35_GL0139502,2
gene_4358266,2
7-7_GL0024019,2
11_GL0034628,2
34_GL0051611,2
DSM22607_10_GL0122499,2
5-6_GL0062772,2
NZ_KB822476.1_cds_WP_004056013.1_1757,2
gene_4201568,2
11_GL0142607,2
gene_4052309,2
NZ_RAYH01000003.1_cds_286,2
Food_9_GL0422463,2
2-1_GL0117996,2
gene_2647175,2
gene_4227203,2
gene_3632263,2
S-Fe11_GL0125808,2
33_GL0096819,2
10_GL0061867,2
gene_1881386,2
MC-6-2_GL0004934,2
NZ_AUGK01000010.1_cds_WP_028027038.1_1690,2
gene_2186335,2
HF-S_5_GL0159407,2
12_GL0091730,2
NZ_NHMT01000001.1_cds_WP_065532815.1_343,2
gene_1354198,2
MH-0-3_GL0013787,2
gene_3123762,2
gene_759350,2
gene_4167779,2
gene_4164433,2
gene_3768782,2
gene_2696392,2
2A-dyr16-07_GL0059593,2
Food_1_GL0124559,2
18_GL0072245,2
AF73-05_13_GL0131089,2
Food_12_GL0056944,2
NZ_QWMU01000007.1_cds_WP_004049809.1_1962,2
20_GL0161935,2
2A-dyr13-07_GL0035813,2
gene_1136233,2
HF-F_13_GL0285924,2
NZ_RAYX01000087.1_cds_WP_120377503.1_1748,2
OB-1_1_GL0352364,2
Food_5_GL0358054,2
gene_2331834,2
NZ_NHMT01000001.1_cds_WP_065533119.1_1740,2
NZ_QWMU01000064.1_cds_WP_004051213.1_1688,2
2-1_GL0120180,2
gene_3065970,2
Food_10_GL0137251,2
3-6_GL0033669,2
2A-dyr13-07_GL0001826,2
AF73-05_11_GL0031818,2
gene_3248996,2
10_GL0087475,2
Food_11_GL0249979,2
gene_4533308,2
DSM22607_8_GL0365253,2
AF73-05_3_GL0004134,2
14_GL0046074,2
gene_561549,2
9_GL0081538,2
11_GL0148054,2
gene_3296560,2
gene_1004313,2
gene_887527,2
gene_3092222,2
gene_4399052,2
S-Fe7_GL0145780,2
5-2_GL0019129,2
gene_1225451,2
gene_3262515,2
OB-1_1_GL0329767,2
Chow_5_GL0238634,2
6_GL0042995,2
AF73-05_10_GL0440970,2
4-4_GL0039342,2
NZ_QWMU01000047.1_cds_WP_004051247.1_1350,2
gene_282865,2
AF73-05_1_GL0346416,2
1A-dyr3-06_GL0039054,2
gene_3992124,2
34_GL0035076,2
gene_3840898,2
2-1_GL0004662,2
gene_250785,2
gene_2788930,2
HF-F_13_GL0093514,2
gene_1081712,2
gene_4246232,2
gene_1678138,2
gene_161937,2
gene_871728,2
S-Fe18_GL0007792,2
NZ_RAYF01000047.1_cds_WP_120437415.1_2376,2
NZ_NHMT01000001.1_cds_WP_065532888.1_228,2
gene_3824001,2
gene_889123,2
gene_4018085,2
S-Fe11_GL0128028,2
gene_2220983,2
OB-1_1_GL0394217,2
NZ_RAZK01000155.1_cds_WP_016218016.1_1244,2
HF-F_13_GL0280493,2
gene_1650942,2
G1-7A_GL0088174,2
DSM22607_13_GL0021809,2
AF73-05_10_GL0225734,2
gene_2224556,2
S-Fe18_GL0074938,2
gene_485788,2
Chow_6_GL0018427,2
gene_4562355,2
gene_331548,2
OB-1_10_GL0100424,2
DSM22607_8_GL0303875,2
gene_4450515,2
Chow_4_GL0069941,2
HF-S_2_GL0099877,2
NZ_NHMT01000001.1_cds_WP_065533441.1_1122,2
gene_4092189,2
Group2-2A_GL0106377,2
gene_2601870,2
gene_1744477,2
S-Fe4_GL0140043,2
gene_66533,2
gene_990955,2
G1-3A_GL0053047,2
gene_1505500,2
5-4_GL0035608,2
gene_3559513,2
11_GL0068231,2
2-1_GL0104712,2
3-8_GL0009649,2
NZ_NHMT01000001.1_cds_WP_065533131.1_1722,2
HF-F_13_GL0396968,2
1A-dyr2-07_GL0008123,2
AF73-05_11_GL0118376,2
AF73-05_14_GL0210640,2
gene_2518727,2
10_GL0063437,2
43_GL0081232,2
8-7_GL0013554,2
gene_2306428,2
HF-F_13_GL0268637,2
gene_1273453,2
gene_4461549,2
7_GL0104552,2
gene_82626,2
MH-6-5_GL0072685,2
Food_10_GL0201409,2
gene_3612424,2
ERR1211992_Scaf1_92,2
gene_3028826,1
Food_10_GL0255006,1
gene_4064433,1
NZ_AUGK01000009.1_cds_WP_028026952.1_1582,1
Group2-5A_GL0007053,1
DSM22607_8_GL0365571,1
S-Fe1_GL0162748,1
gene_3707391,1
S-Fe12_GL0095640,1
HF-F_11_GL0166405,1
11_GL0054503,1
gene_249493,1
NZ_KB822424.1_cds_WP_004042774.1_898,1
HF-F_13_GL0029131,1
7-1_GL0064842,1
gene_2364619,1
NZ_RAYX01000089.1_cds_WP_120377511.1_1758,1
S-Fe2_GL0019831,1
Food_7_GL0144333,1
HF-F_4_GL0307454,1
HF-S_14_GL0226654,1
NZ_RAYO01000012.1_cds_WP_120394786.1_2761,1
gene_2596958,1
1-5_GL0032874,1
gene_926851,1
gene_2779971,1
DSM22607_3_GL0038416,1
HF-F_7_GL0176595,1
S-Fe8_GL0068865,1
gene_3406407,1
1A-dyr4-07_GL0092820,1
G1-8A_GL0080050,1
2A-dyr13-07_GL0040488,1
NZ_NHMT01000001.1_cds_WP_065532858.1_274,1
Food_9_GL0126862,1
gene_2121975,1
ERR1211992_Scaf9_881,1
2-1_GL0011365,1
gene_3399586,1
AF73-05_9_GL0117320,1
Food_12_GL0211731,1
gene_1774932,1
MH-6-5_GL0180242,1
DSM22607_12_GL0249408,1
MC-6-5_GL0138231,1
gene_2224729,1
5-4_GL0056648,1
NZ_QIBY01000001.1_cds_WP_123184653.1_227,1
NZ_AUGK01000013.1_cds_WP_028027269.1_1972,1
gene_3502865,1
Food_14_GL0240496,1
HF-F_10_GL0113024,1
ERR1211992_Scaf7_754,1
gene_2675568,1
NZ_NHMT01000001.1_cds_WP_065532874.1_252,1
23_GL0116176,1
Group2-8A_GL0084764,1
gene_2554029,1
NZ_NHMT01000001.1_cds_WP_003665211.1_1062,1
4-7_GL0143963,1
Group2-1A_GL0088057,1
3-2_GL0019842,1
Food_7_GL0067553,1
ERR1211992_Scaf96_2274,1
7-8_GL0039580,1
6-2_GL0086352,1
S-Fe1_GL0117280,1
gene_3550801,1
gene_3016753,1
gene_4398430,1
AF73-05_11_GL0298615,1
gene_1021223,1
S-Fe7_GL0227057,1
gene_4006882,1
gene_536577,1
20_GL0027329,1
Food_8_GL0125888,1
Food_4_GL0088431,1
AF73-05_6_GL0279467,1
AF73-05_3_GL0060430,1
10_GL0081633,1
gene_4395181,1
Group2-1A_GL0041804,1
17_GL0121884,1
Group2-5A_GL0007213,1
S-Fe20_GL0112109,1
Food_10_GL0233315,1
2-1_GL0062653,1
gene_3908388,1
gene_3593151,1
NZ_RAYX01000018.1_cds_WP_120376788.1_558,1
gene_1262720,1
MC-0-1_GL0066290,1
OB-1_11_GL0163608,1
gene_4124379,1
gene_3435539,1
gene_269669,1
gene_1457639,1
2-1_GL0039210,1
gene_1241732,1
NZ_RAYQ01000029.1_cds_WP_120472001.1_2152,1
Food_7_GL0104973,1
gene_1140946,1
gene_1553189,1
2-2_GL0068613,1
MC-6-2_GL0003889,1
Food_6_GL0242406,1
2-1_GL0034105,1
gene_2331387,1
gene_3183526,1
gene_4213797,1
DSM22607_8_GL0344014,1
G1-5A_GL0133904,1
1-4_GL0016402,1
2-1_GL0026067,1
Chow_3_GL0061673,1
G1-4A_GL0041965,1
gene_4066796,1
S-Fe7_GL0152287,1
Chow_2_GL0166327,1
gene_1757427,1
gene_3858651,1
MC-0-1_GL0090067,1
Group2-3A_GL0142631,1
20_GL0147508,1
gene_4424581,1
MC-0-1_GL0008158,1
Food_12_GL0058701,1
gene_4349994,1
6-2_GL0094421,1
1-4_GL0028548,1
gene_2577554,1
Food_10_GL0236215,1
3_GL0148398,1
13_GL0056804,1
ERR1211992_Scaf5_558,1
gene_1770310,1
gene_3989844,1
gene_2083558,1
S-Fe3_GL0218336,1
11_GL0103399,1
17_GL0027172,1
MH-0-3_GL0006281,1
26_GL0095957,1
gene_660511,1
17_GL0093208,1
MH-6-5_GL0040682,1
20_GL0015844,1
gene_4532237,1
HF-F_4_GL0011370,1
gene_1634381,1
gene_3767753,1
gene_2404359,1
1A-dyr3-06_GL0023130,1
HF-F_1_GL0052361,1
15_GL0118792,1
HF-S_4_GL0013768,1
20_GL0014827,1
10_GL0031271,1
2B-dyr23-07_GL0025158,1
NZ_KE159646.1_cds_WP_016308735.1_487,1
11_GL0040263,1
NZ_KB822470.1_cds_6035,1
HF-S_5_GL0060799,1
HF-F_13_GL0111574,1
gene_4076326,1
gene_4543204,1
gene_1627375,1
gene_1811314,1
NZ_RAZK01000106.1_cds_WP_120486495.1_99,1
S-Fe11_GL0011885,1
Group2-2A_GL0112379,1
S-Fe6_GL0086035,1
S-Fe11_GL0058788,1
gene_2682147,1
gene_1360372,1
NZ_QWMU01000055.1_cds_WP_119448396.1_1561,1
Group2-1A_GL0079081,1
gene_1623716,1
3-5_GL0077725,1
gene_3675867,1
32_GL0111569,1
gene_786816,1
S-Fe9_GL0161025,1
4-1_GL0003808,1
5-6_GL0065409,1
gene_4416745,1
gene_250816,1
MC-6-2_GL0092156,1
NZ_QWMU01000003.1_cds_WP_119448102.1_1163,1
AF73-05_7_GL0123555,1
MC-6-3_GL0002038,1
NZ_KB822466.1_cds_WP_004079992.1_4393,1
14_GL0134653,1
Food_10_GL0062177,1
gene_3711335,1
gene_1336028,1
gene_3812131,1
G1-5A_GL0009874,1
Chow_8_GL0307493,1
gene_1715287,1
MC-0-1_GL0114014,1
NZ_RAYB01000045.1_cds_WP_121708032.1_2331,1
gene_991024,1
gene_1757532,1
S-Fe9_GL0046734,1
Food_9_GL0042948,1
NZ_AUGK01000020.1_cds_WP_084636553.1_2366,1
gene_3580203,1
NZ_AUGK01000003.1_cds_WP_084636177.1_441,1
gene_981635,1
Group2-7A_GL0104134,1
NZ_KB822405.1_cds_WP_004049244.1_945,1
gene_2453086,1
gene_3730802,1
DSM22607_12_GL0195317,1
gene_2446603,1
gene_2448261,1
gene_1126647,1
Food_5_GL0254594,1
ERR1211992_Scaf10_948,1
11_GL0078614,1
28_GL0041508,1
Group2-4A_GL0002805,1
5_GL0015561,1
gene_3831271,1
gene_2292666,1
3A-dyr30-06_GL0041149,1
gene_1311075,1
gene_4455178,1
gene_2185562,1
Food_10_GL0116329,1
gene_2859489,1
gene_3923479,1
1A-dyr2-07_GL0067024,1
NZ_KB822445.1_cds_WP_004072143.1_1812,1
HF-F_13_GL0155490,1
NZ_RAYH01000013.1_cds_WP_002515961.1_1813,1
gene_4122826,1
gene_3969372,1
gene_2408764,1
3-1_GL0075677,1
gene_1071382,1
Food_14_GL0191885,1
MH-0-3_GL0022614,1
gene_4020244,1
gene_1220990,1
gene_4315615,1
gene_3332675,1
3-5_GL0000606,1
gene_4294531,1
gene_2280966,1
gene_1448114,1
S-Fe9_GL0222987,1
6-4_GL0102085,1
Chow_6_GL0113728,1
G1-7A_GL0149388,1
gene_1288596,1
MC-6-1_GL0041361,1
11_GL0000680,1
10_GL0051284,1
17_GL0077218,1
gene_1746497,1
2A-dyr14-07_GL0055307,1
S-Fe3_GL0041187,1
gene_3399397,1
Food_10_GL0251797,1
gene_3758615,1
NZ_NHMT01000001.1_cds_WP_065532726.1_540,1
gene_1378890,1
gene_4261412,1
S-Fe11_GL0023059,1
HF-F_6_GL0423440,1
HF-F_12_GL0163684,1
Food_9_GL0340380,1
23_GL0046481,1
32_GL0106470,1
Food_8_GL0272324,1
gene_2779334,1
Food_5_GL0207932,1
gene_499731,1
Group2-1A_GL0069114,1
11_GL0069834,1
11_GL0042532,1
gene_2593099,1
4-1_GL0007488,1
4-8_GL0009814,1
2-1_GL0088527,1
15_GL0102941,1
6-3_GL0049044,1
S-Fe6_GL0068576,1
gene_528129,1
G1-1A_GL0048797,1
G1-1A_GL0021765,1
gene_1350139,1
33_GL0010425,1
gene_4449364,1
MC-0-1_GL0110998,1
gene_2211381,1
gene_4617871,1
gene_1280250,1
NZ_RAYQ01000007.1_cds_WP_120468819.1_4109,1
MC-0-1_GL0038228,1
gene_529773,1
2-1_GL0099572,1
HF-F_12_GL0114874,1
14_GL0033570,1
1-7_GL0018079,1
gene_2113449,1
HF-F_2_GL0144980,1
1-3_GL0013740,1
NZ_AUGK01000010.1_cds_WP_028026984.1_1620,1
Food_12_GL0126817,1
gene_2382810,1
gene_1338650,1
gene_1108172,1
gene_1926135,1
Food_9_GL0399981,1
HF-S_13_GL0391350,1
Chow_5_GL0286720,1
Chow_4_GL0150501,1
6-8_GL0015069,1
gene_3381218,1
gene_89806,1
AF73-05_13_GL0267828,1
gene_218662,1
HF-F_13_GL0067528,1
gene_4510664,1
gene_4020394,1
8-7_GL0019558,1
gene_2090348,1
G1-1A_GL0026272,1
2-1_GL0017113,1
S-Fe7_GL0300195,1
gene_4157491,1
gene_3668879,1
gene_282822,1
HF-S_4_GL0100198,1
Food_14_GL0062988,1
10_GL0057370,1
gene_4425273,1
gene_721169,1
NZ_KB822413.1_cds_WP_004040551.1_569,1
G1-5A_GL0171740,1
gene_2346533,1
gene_4365242,1
S-Fe14_GL0086646,1
gene_3995393,1
gene_2102900,1
gene_1075517,1
gene_3531908,1
gene_1310723,1
45_GL0121658,1
NZ_KE159646.1_cds_WP_084811621.1_2390,1
HF-F_13_GL0237883,1
gene_3585688,1
AF73-05_14_GL0165655,1
gene_4636665,1
OB-1_9_GL0140423,1
gene_3441893,1
gene_4060237,1
S-Fe5_GL0124663,1
gene_647888,1
gene_2084494,1
gene_332214,1
10_GL0080476,1
NZ_RAYX01000187.1_cds_WP_120377809.1_546,1
NZ_KB822435.1_cds_WP_004045383.1_1313,1
gene_3729162,1
NZ_NHMT01000001.1_cds_WP_065532900.1_198,1
Group2-6A_GL0065132,1
AF73-05_11_GL0323189,1
35_GL0126266,1
17_GL0036706,1
gene_4637682,1
gene_4560097,1
10_GL0030308,1
gene_2300691,1
gene_3360451,1
gene_3078152,1
gene_4623317,1
gene_728691,1
