gene,noFMT_1_duodenum
G1-1A_GL0063341,4
gene_3778444,4
1-1_GL0110755,4
MC-0-1_GL0026953,4
4-1_GL0060724,4
gene_3594858,4
gene_565773,4
gene_3936835,4
S-Fe10_GL0111643,4
MC-6-2_GL0001446,4
gene_4415742,4
S-Fe16_GL0107616,4
15_GL0160501,4
gene_965484,4
gene_4535678,4
S-Fe17_GL0041354,4
gene_3744486,4
gene_4186986,4
G1-1A_GL0002637,4
G1-1A_GL0110278,4
MC-0-1_GL0029516,4
gene_4267967,4
G1-1A_GL0059784,4
16_GL0006759,4
NZ_CP021421.1_cds_WP_068961902.1_841,4
AF73-05_2_GL0399234,4
G1-1A_GL0057418,4
gene_3709410,4
NZ_CP021421.1_cds_WP_068961709.1_1055,4
S-Fe1_GL0088839,4
gene_4609007,4
G1-1A_GL0045991,4
NZ_CP021421.1_cds_WP_068961909.1_832,4
11_GL0061806,4
gene_224810,4
gene_1138838,4
gene_3928471,4
G1-1A_GL0124666,4
gene_4392414,4
Chow_3_GL0173226,4
gene_3624774,4
AF73-05_4_GL0392230,4
gene_3839962,4
gene_4164712,4
G1-1A_GL0095216,4
gene_3296765,4
13_GL0029647,4
gene_4018985,4
Chow_3_GL0053760,4
gene_2086045,4
gene_363556,4
gene_3044355,4
gene_3274736,4
1A-dyr3-07_GL0009819,4
MC-0-3_GL0048394,4
MC-0-1_GL0033210,4
gene_3819664,4
G1-1A_GL0032130,4
G1-1A_GL0117669,4
gene_4119377,4
gene_4315568,4
gene_3078306,4
S-Fe10_GL0000440,4
gene_1891608,4
gene_3116112,4
gene_2985579,4
MC-6-2_GL0165164,4
G1-1A_GL0059721,4
gene_3027982,4
S-Fe5_GL0083315,4
G1-1A_GL0015481,4
G1-1A_GL0100819,4
gene_3445221,4
14_GL0027995,4
gene_2901772,4
MC-0-1_GL0111209,4
7-1_GL0083943,4
gene_1899899,4
gene_2472536,4
NZ_CP021421.1_cds_WP_068959802.1_676,4
gene_4007575,4
gene_3907602,4
gene_258106,4
G1-1A_GL0059838,4
gene_4594325,4
gene_3768273,4
MH-6-2_GL0116475,4
11_GL0043846,4
gene_145663,4
Food_5_GL0343057,4
gene_3519492,4
28_GL0106299,4
gene_2820582,4
gene_4580486,4
S-Fe10_GL0034632,4
gene_3861016,4
gene_3814087,4
S-Fe10_GL0136751,4
S-Fe11_GL0001432,4
G1-1A_GL0108611,4
G1-1A_GL0113945,4
gene_4522101,4
4-1_GL0060681,4
gene_479273,4
1-1_GL0062729,4
gene_3825806,4
gene_3426264,4
40_GL0048545,4
gene_4550013,4
G1-1A_GL0015501,4
gene_4497543,4
NZ_CP021421.1_cds_WP_068960117.1_265,4
gene_4014328,4
gene_4091757,4
Food_12_GL0010742,4
gene_3941078,4
31_GL0018377,4
G1-1A_GL0025032,4
5-4_GL0032820,4
Chow_6_GL0197774,4
16_GL0035021,4
gene_341625,4
S-Fe10_GL0002202,4
gene_3926470,4
gene_3517126,4
MC-6-1_GL0045590,4
S-Fe14_GL0016610,4
gene_3338691,4
gene_3156207,4
gene_3304275,4
gene_4301324,4
gene_3395106,4
Food_13_GL0003612,4
gene_3661719,4
1-3_GL0106262,4
S-Fe11_GL0132476,4
AF73-05_1_GL0028955,4
gene_3044237,4
gene_1568292,4
gene_4009337,4
MC-0-1_GL0038230,4
G1-2A_GL0079561,4
MH-6-2_GL0035087,4
G1-1A_GL0063031,4
G1-1A_GL0057388,4
OB-1_5_GL0183453,4
gene_3652531,4
13_GL0082569,4
S-Fe6_GL0096183,4
gene_4299393,4
gene_4308140,4
gene_4430107,4
gene_3862499,4
gene_3833958,4
DSM22607_10_GL0010131,4
1-4_GL0020719,4
MC-6-2_GL0017704,4
G1-1A_GL0037680,4
DSM22607_11_GL0243003,4
MC-0-1_GL0042102,4
gene_3229776,4
gene_3171229,4
gene_3615338,4
S-Fe11_GL0084127,4
gene_187606,4
NZ_CP021421.1_cds_WP_068961752.1_1004,4
S-Fe3_GL0173797,4
G1-1A_GL0110314,4
gene_3872747,4
MC-6-3_GL0040169,4
gene_4358498,4
gene_4255313,4
S-Fe10_GL0169179,4
S-Fe10_GL0132597,4
G1-1A_GL0024860,4
gene_2807496,4
gene_2149782,4
20_GL0022254,4
gene_3398292,4
gene_4237636,4
gene_4625664,4
gene_2771109,4
G1-1A_GL0063334,4
Food_3_GL0207782,4
gene_4263840,4
MC-6-3_GL0108619,4
G1-1A_GL0116517,4
MC-6-4_GL0100699,4
S-Fe11_GL0107172,4
gene_3837572,4
MC-6-1_GL0009278,4
NZ_CP021421.1_cds_WP_084273984.1_2490,4
gene_3920536,4
gene_2266377,4
10_GL0048860,4
MH-6-2_GL0126431,4
AF73-05_5_GL0075300,4
gene_2733812,4
gene_3377584,4
gene_4464485,4
Chow_2_GL0193040,4
MC-6-2_GL0110353,4
G1-1A_GL0059720,4
gene_3256723,4
gene_3834297,4
MC-0-3_GL0062107,4
gene_4365033,4
G1-1A_GL0039150,4
G1-1A_GL0092997,4
gene_3904560,4
gene_3592714,4
S-Fe11_GL0104582,4
gene_2111246,4
G1-1A_GL0096586,4
gene_3841138,4
MC-6-1_GL0050844,4
Chow_5_GL0185402,4
G1-1A_GL0079025,4
MC-6-1_GL0027153,4
gene_3830158,4
gene_3395030,4
gene_341617,4
NZ_CP021421.1_cds_WP_068961176.1_1666,4
gene_953407,4
Chow_2_GL0008609,4
S-Fe10_GL0008975,4
4-1_GL0054945,4
gene_4349873,4
37_GL0033016,4
gene_3410493,4
1A-dyr3-06_GL0004469,4
MC-6-1_GL0063847,4
gene_3750294,4
G1-1A_GL0002549,4
G1-1A_GL0061575,4
G1-1A_GL0108662,4
MC-0-1_GL0007119,4
NZ_RAYW01000017.1_cds_WP_121699331.1_500,4
NZ_KB822478.1_cds_WP_004056503.1_1920,4
gene_3208193,4
OB-1_1_GL0391950,4
Group2-6A_GL0060202,4
gene_4128151,4
gene_3070788,4
gene_3435493,4
gene_4019466,4
1-4_GL0051225,4
S-Fe16_GL0058895,4
gene_4518280,4
gene_2885546,4
G1-1A_GL0033880,4
31_GL0005432,4
gene_3754406,4
gene_3175767,4
gene_3198484,4
gene_2708336,4
33_GL0095848,4
NZ_CP021421.1_cds_WP_068960225.1_141,4
gene_3779878,4
1-1_GL0130303,4
gene_2812930,4
gene_114205,4
gene_2781508,4
G1-1A_GL0059748,4
1-7_GL0028045,4
gene_379060,4
1-1_GL0124738,4
MC-6-1_GL0023117,4
MC-6-3_GL0006791,4
gene_4245197,4
gene_2674029,4
MC-6-1_GL0105980,4
S-Fe4_GL0016953,4
gene_3764970,4
7-7_GL0082780,4
gene_3991454,4
gene_2909897,4
gene_3520789,4
gene_4506083,4
MC-6-1_GL0050896,4
MC-6-5_GL0106915,4
G1-1A_GL0086520,4
Food_6_GL0110553,4
G1-1A_GL0061032,4
gene_4428823,4
gene_2541591,4
gene_3266923,4
Chow_1_GL0017451,4
gene_4462517,4
20_GL0108180,4
1-1_GL0101926,4
gene_4500338,4
35_GL0023497,4
gene_3398167,4
gene_3650063,4
NZ_CP021421.1_cds_WP_084274131.1_1125,4
1A-dyr3-06_GL0004462,4
S-Fe1_GL0016264,4
gene_4453241,4
S-Fe2_GL0026756,4
1-1_GL0030046,4
gene_3308935,4
Group2-6A_GL0118445,4
gene_3815627,4
gene_3877092,4
S-Fe11_GL0064012,4
gene_4451575,4
gene_3074725,4
NZ_CP021421.1_cds_WP_068960365.1_2647,4
gene_3363779,4
S-Fe10_GL0086672,4
MC-0-3_GL0022216,4
gene_2299394,4
gene_4134912,4
gene_4335182,4
2A-dyr13-06_GL0041132,4
gene_3690721,4
1-7_GL0132516,4
G1-1A_GL0063298,4
gene_3833690,4
gene_2072557,4
MC-0-3_GL0050575,4
47_GL0007275,4
gene_4046970,4
gene_3007901,4
gene_3959846,4
gene_4415330,4
G1-1A_GL0096665,4
gene_2494780,4
gene_187627,4
gene_4484734,4
Chow_7_GL0221641,4
gene_3945797,4
G1-1A_GL0113990,4
MC-0-1_GL0082236,4
gene_3838993,4
1-1_GL0130633,4
gene_3131606,4
G1-1A_GL0039151,4
gene_3183513,4
gene_3843826,4
MC-6-1_GL0006680,4
G1-5A_GL0192079,4
HF-F_3_GL0111645,4
MC-6-1_GL0057615,4
S-Fe3_GL0037017,4
gene_4235826,4
gene_4453999,4
S-Fe11_GL0052736,4
MC-0-3_GL0025814,4
G1-1A_GL0028534,4
G1-1A_GL0032207,4
24_GL0057524,4
gene_3297183,4
G1-1A_GL0096626,4
MC-0-1_GL0046437,4
gene_2713528,4
gene_2856693,4
gene_2248386,4
G1-1A_GL0095215,4
OB-1_8_GL0167190,4
S-Fe10_GL0017507,4
S-Fe10_GL0052747,4
16_GL0004940,4
gene_3489681,4
gene_3806668,4
gene_4497683,4
gene_2550640,4
gene_1231737,4
Chow_1_GL0200133,4
Chow_3_GL0216676,4
AF73-05_10_GL0261184,4
AF73-05_14_GL0022159,4
MC-0-3_GL0018837,4
NZ_RAYU01000162.1_cds_1289,4
4-3_GL0054475,4
gene_4222651,4
gene_4307961,4
gene_3375526,4
4-1_GL0026881,4
AF73-05_3_GL0267567,4
gene_3868255,4
NZ_CP021421.1_cds_WP_068961213.1_1620,4
G1-3A_GL0061622,4
NZ_RAYW01000013.1_cds_WP_121699105.1_269,4
gene_2680106,4
NZ_CP021421.1_cds_WP_068960886.1_2008,4
G1-1A_GL0002883,4
MC-0-1_GL0091147,4
gene_2826345,4
gene_3801316,4
gene_2830777,4
gene_3777011,4
gene_2636544,4
gene_4218002,4
S-Fe10_GL0048513,4
MC-0-3_GL0037140,4
S-Fe10_GL0005099,4
gene_2211973,4
S-Fe4_GL0044445,4
gene_2580736,4
gene_2873741,4
DSM22607_1_GL0101156,4
DSM22607_2_GL0139796,4
gene_2666745,4
gene_3735625,4
gene_4135997,4
gene_3884535,4
MC-6-4_GL0117996,4
S-Fe2_GL0107136,4
Chow_6_GL0105616,4
NZ_CP021421.1_cds_WP_068960080.1_308,4
MC-0-1_GL0071451,4
3-1_GL0009182,4
16_GL0021477,4
Food_6_GL0126211,4
gene_2210955,4
gene_3469929,4
S-Fe11_GL0152931,4
MC-0-3_GL0091467,4
G1-1A_GL0017531,4
gene_1291874,4
gene_2882606,4
gene_4035752,4
gene_3727720,4
NZ_CP021421.1_cds_WP_084274020.1_2166,4
gene_3524632,4
Food_5_GL0182888,4
gene_2723399,4
gene_4375019,4
gene_3616325,4
AF73-05_1_GL0045415,4
NZ_CP021421.1_cds_WP_068960699.1_2246,4
G1-1A_GL0106052,4
gene_3831862,4
gene_3003642,4
S-Fe11_GL0111315,4
gene_218647,4
gene_2491615,4
MC-6-3_GL0107391,4
G1-1A_GL0051691,4
gene_3281091,4
gene_3380299,4
gene_2980366,4
Chow_2_GL0096785,4
gene_127658,4
S-Fe11_GL0054102,4
S-Fe7_GL0277722,4
MH-6-2_GL0109966,4
MC-6-5_GL0059065,4
gene_4071556,4
G1-5A_GL0195605,4
gene_4188406,4
MC-6-2_GL0194567,4
gene_3980341,4
1-7_GL0096079,4
MC-6-3_GL0026628,4
gene_181044,4
gene_3840049,4
G1-1A_GL0021773,4
NZ_CP021421.1_cds_WP_068960734.1_2194,4
gene_3701063,4
gene_1916830,4
G1-1A_GL0024878,4
gene_3550643,4
MC-6-3_GL0032522,4
S-Fe11_GL0092199,4
G1-1A_GL0070737,4
NZ_KB822441.1_cds_WP_004068262.1_7,4
gene_258097,4
gene_3643442,4
S-Fe10_GL0115471,4
gene_3372957,4
HF-F_1_GL0251058,4
1-1_GL0151220,4
gene_3792493,4
gene_2860149,4
gene_4280503,4
gene_4499661,4
3-1_GL0026046,4
gene_1593313,4
gene_504693,4
gene_3806329,4
G1-1A_GL0093290,4
gene_127662,4
G1-1A_GL0021805,4
gene_4415231,4
S-Fe10_GL0042199,4
gene_1871098,4
1B-dyr12-07_GL0039996,4
10_GL0046973,4
gene_3326866,4
G1-1A_GL0075939,4
S-Fe10_GL0112552,4
Chow_7_GL0080492,4
gene_1940291,4
gene_423160,4
gene_3684685,4
gene_3253502,4
AF73-05_3_GL0081611,4
gene_4236532,4
16_GL0024595,4
gene_4579847,4
gene_1072936,4
gene_967677,4
S-Fe10_GL0000414,4
15_GL0141846,4
gene_4277973,4
gene_4469078,4
gene_4473333,4
gene_3164473,4
gene_3558267,4
gene_3308443,4
gene_4475996,4
gene_1473886,4
gene_3816682,4
gene_4424239,4
gene_2419216,4
gene_4307707,4
Chow_1_GL0055628,4
gene_2296860,4
gene_4173995,4
gene_3644554,4
gene_4397745,4
G1-1A_GL0117693,4
1-8_GL0023782,4
1A-dyr1-07_GL0031137,4
MC-0-1_GL0006842,4
4-3_GL0074062,4
Group2-5A_GL0055929,4
gene_3790145,4
gene_3897233,4
G1-1A_GL0024913,4
gene_532807,4
gene_4369324,4
G1-1A_GL0051698,4
S-Fe10_GL0083156,4
gene_4270315,4
gene_1259915,4
S-Fe3_GL0022091,4
15_GL0100652,4
S-Fe14_GL0075802,4
NZ_CP021421.1_cds_WP_068960086.1_302,4
G1-1A_GL0045174,4
G1-1A_GL0045795,4
G1-1A_GL0093282,4
MC-0-1_GL0071140,4
gene_2382125,4
MC-6-2_GL0079139,4
MC-6-1_GL0063862,4
MC-0-1_GL0042882,4
gene_3899991,4
AF73-05_9_GL0016295,4
AF73-05_13_GL0196170,4
gene_3562704,4
gene_4385205,4
gene_4471505,4
NZ_RAZG01000152.1_cds_WP_120410082.1_868,4
MC-6-2_GL0004622,4
gene_2571095,4
gene_3464697,4
gene_3905967,4
gene_290346,4
NZ_CP021421.1_cds_WP_068959754.1_730,4
MC-6-2_GL0037760,4
gene_2366334,4
gene_345457,4
gene_3896512,4
MC-0-3_GL0030762,4
G1-1A_GL0057399,4
AF73-05_4_GL0287429,4
gene_4010935,4
gene_3511378,4
gene_3162975,4
1-3_GL0087396,4
gene_3845736,4
gene_3166716,4
gene_3760820,4
S-Fe4_GL0168770,4
gene_3506385,4
G1-1A_GL0103707,4
gene_4628629,4
gene_3584728,4
gene_727076,4
G1-1A_GL0024428,4
gene_3976986,4
gene_3448890,4
Chow_6_GL0165249,4
gene_4417303,4
12_GL0078764,4
G1-1A_GL0075913,4
S-Fe10_GL0080650,4
gene_4387605,4
gene_4102881,4
gene_3887581,4
gene_4197346,4
5-8_GL0006848,4
gene_3931397,4
gene_898909,4
gene_3143434,4
gene_4438864,4
gene_3510390,4
Chow_7_GL0097473,4
gene_3962385,4
Food_14_GL0122066,4
gene_3894583,4
Food_13_GL0211221,4
gene_2894582,4
gene_2920551,4
Chow_3_GL0137677,4
gene_3546745,4
MC-6-5_GL0003767,4
gene_2659207,4
Group2-3A_GL0005181,4
gene_4294104,4
G1-1A_GL0045749,4
MC-6-2_GL0070445,4
MH-6-1_GL0033410,4
gene_4618096,4
1-7_GL0120078,4
gene_4362916,4
gene_2424086,4
G1-1A_GL0021791,4
gene_3944095,4
gene_4370324,4
gene_164977,4
gene_4609169,4
gene_4080116,4
MC-0-1_GL0009103,4
gene_3489744,4
gene_3229618,4
gene_2744645,4
Food_3_GL0225936,4
gene_3897533,4
MC-6-2_GL0045210,4
MH-6-1_GL0088586,4
gene_802474,4
gene_4259185,4
gene_3335442,4
G1-1A_GL0105396,4
OB-1_4_GL0399834,4
Food_1_GL0110732,4
G1-1A_GL0115448,4
gene_4052200,4
NZ_CP021421.1_cds_WP_068961420.1_1375,4
G1-1A_GL0015465,4
gene_4156640,4
AF73-05_14_GL0003065,4
25_GL0017350,4
gene_2752419,4
S-Fe18_GL0005091,4
gene_2453350,4
MC-6-1_GL0065635,4
gene_3925908,4
gene_4617265,4
gene_1777483,4
15_GL0117345,4
G1-1A_GL0118212,4
gene_810479,4
gene_127617,4
gene_3290476,4
gene_3208878,4
gene_4400279,4
gene_2924738,4
G1-2A_GL0035254,4
gene_2819189,4
gene_3777283,4
gene_4294951,4
gene_4611084,4
31_GL0021699,4
gene_3299204,4
gene_2548247,4
G1-1A_GL0059689,4
gene_3583144,4
gene_4544139,4
gene_3069869,4
NZ_CP021421.1_cds_WP_084273966.1_2644,4
G1-1A_GL0100772,4
DSM22607_2_GL0216112,4
Chow_5_GL0239023,4
S-Fe10_GL0072188,4
MH-0-3_GL0026281,4
G1-1A_GL0095238,4
gene_4372469,4
S-Fe7_GL0235749,4
gene_3218083,4
Chow_6_GL0269695,4
gene_2947796,4
gene_2058397,4
10_GL0030405,4
gene_3831868,4
S-Fe12_GL0186653,4
MH-0-5_GL0119361,4
gene_127666,4
gene_2292052,4
gene_4308398,4
10_GL0040613,4
gene_4604877,4
NZ_CP021421.1_cds_WP_068959928.1_514,4
AF73-05_2_GL0296665,4
S-Fe6_GL0007276,4
gene_1634769,4
gene_3862167,4
gene_3530216,4
gene_2886747,4
MH-6-2_GL0082805,4
gene_3899536,4
gene_3226298,4
1-1_GL0026069,4
gene_4331818,4
gene_3169187,4
MC-6-2_GL0119978,4
gene_3396349,4
gene_4134056,4
gene_565782,4
S-Fe7_GL0265593,4
gene_4382551,4
1A-dyr5-07_GL0051325,4
gene_3052254,4
gene_1284965,4
Chow_2_GL0231619,4
MC-6-3_GL0022745,4
gene_3400989,4
gene_4039626,4
gene_2878984,4
G1-1A_GL0096461,4
gene_218661,4
gene_1020862,4
gene_3685693,4
gene_1659175,4
AF73-05_5_GL0124134,4
NZ_CP021421.1_cds_WP_068961653.1_1119,4
gene_3577779,4
gene_1516020,4
S-Fe6_GL0008324,4
S-Fe10_GL0071303,4
gene_3443473,4
G1-1A_GL0045091,4
gene_3001490,4
1-2_GL0123492,4
gene_2334765,4
MC-6-2_GL0080953,4
gene_805193,4
S-Fe11_GL0117964,4
MC-6-1_GL0111292,4
gene_3681753,4
gene_3942334,4
gene_4316941,4
S-Fe6_GL0075275,4
gene_4026038,4
gene_3720690,4
gene_4618926,4
MC-6-5_GL0110569,4
S-Fe10_GL0055851,4
gene_3815291,4
gene_3435313,4
1A-dyr2-07_GL0042895,4
gene_3339174,4
4_GL0060872,4
NZ_CP021421.1_cds_WP_068960575.1_2413,4
gene_3726703,4
gene_4174430,4
gene_3116487,4
gene_2324288,4
MC-6-1_GL0098748,4
gene_4032954,4
gene_3721534,4
1-7_GL0068779,4
MC-6-3_GL0001784,4
G1-1A_GL0045968,4
S-Fe10_GL0111618,4
MH-0-4_GL0065671,4
S-Fe10_GL0059481,4
gene_4465774,4
gene_3765933,4
G1-1A_GL0100861,4
MH-6-2_GL0086519,4
gene_3912295,4
gene_4187168,4
G1-1A_GL0111330,4
gene_4335267,4
Chow_7_GL0255933,4
gene_3969372,4
gene_4430222,4
G1-1A_GL0059819,4
gene_1585727,4
gene_2966334,4
S-Fe11_GL0068193,4
gene_4318509,4
gene_4544855,4
G1-1A_GL0024440,4
gene_4070831,4
gene_3889041,4
gene_4443890,4
4_GL0031494,4
G1-1A_GL0086552,4
gene_1305494,4
gene_3987136,4
gene_3706031,4
gene_4234729,4
Food_6_GL0233136,4
gene_449494,4
gene_50368,4
MC-0-1_GL0055020,4
gene_3571702,4
NZ_CP021421.1_cds_WP_084273911.1_546,4
S-Fe1_GL0043236,4
gene_3448004,4
gene_4517284,4
S-Fe11_GL0043926,4
NZ_CP021421.1_cds_WP_068960774.1_2148,4
5_GL0122964,4
S-Fe3_GL0033708,4
G1-1A_GL0063318,4
gene_3998828,4
gene_3780620,4
gene_3273921,4
gene_1177425,4
gene_4140820,4
gene_3143820,4
10_GL0064198,4
gene_484358,4
gene_3926551,4
MC-0-1_GL0072477,4
gene_3967147,4
MH-0-3_GL0080428,4
NZ_CP021421.1_cds_WP_068959720.1_769,4
AF73-05_10_GL0387113,4
1-1_GL0005187,4
gene_1383443,4
gene_3342232,4
gene_4023711,4
G1-1A_GL0021742,4
S-Fe10_GL0160406,4
gene_4006061,4
MC-0-1_GL0088480,4
gene_3809391,4
28_GL0046323,4
G1-1A_GL0001244,4
Chow_5_GL0174367,4
gene_4599508,4
MC-0-1_GL0006513,4
gene_4557466,4
NZ_RAYW01000043.1_cds_WP_121700278.1_2001,4
16_GL0115746,4
NZ_CP021421.1_cds_WP_068960187.1_190,4
Chow_8_GL0130936,4
gene_3085593,4
gene_83881,4
gene_164951,4
G1-1A_GL0039120,4
NZ_CP021421.1_cds_WP_084273932.1_352,4
MC-0-1_GL0004952,4
S-Fe11_GL0029568,4
NZ_CP021421.1_cds_WP_068960821.1_2082,4
gene_4576525,4
gene_3980856,4
S-Fe3_GL0163193,4
gene_4626040,4
NZ_CP021421.1_cds_WP_068960077.1_311,4
S-Fe11_GL0130609,4
Chow_6_GL0025845,4
Food_11_GL0294279,4
NZ_CP021421.1_cds_WP_068961082.1_1778,4
4-1_GL0065973,4
gene_3474540,4
MH-0-5_GL0009077,4
Chow_1_GL0069184,4
MC-0-3_GL0085155,4
gene_3628508,4
gene_1112696,4
AF73-05_6_GL0007004,4
gene_4057109,4
S-Fe11_GL0063452,4
S-Fe19_GL0056762,4
MH-0-4_GL0038935,4
gene_4398767,4
gene_4016251,4
gene_4083575,4
10_GL0056326,4
G1-1A_GL0015461,4
G1-1A_GL0045137,4
gene_3537282,4
S-Fe10_GL0138092,4
MC-6-2_GL0157886,4
2-3_GL0059441,4
MH-6-3_GL0069175,4
S-Fe13_GL0041633,4
S-Fe10_GL0036058,4
gene_1717662,4
gene_2837186,4
gene_2261665,4
gene_4116792,4
G1-1A_GL0049563,4
NZ_CP021421.1_cds_WP_084274076.1_1615,4
gene_3553681,4
gene_1571592,4
gene_2315348,4
Food_14_GL0083513,4
G1-1A_GL0015533,4
gene_3826502,4
Chow_5_GL0074107,4
gene_3484547,4
gene_4417681,4
gene_4338026,4
MC-6-1_GL0061741,4
gene_4211063,4
gene_3983226,4
gene_241909,4
45_GL0031733,4
G1-1A_GL0101199,4
gene_4527690,4
gene_3876345,4
G1-1A_GL0024994,4
gene_4394040,4
S-Fe3_GL0131669,4
gene_2693636,4
ERR1212024_Scaf6_465,4
gene_1196487,4
S-Fe10_GL0150991,4
S-Fe10_GL0034555,4
16_GL0090950,4
gene_3362147,4
10_GL0026128,4
gene_4537645,4
gene_3542294,4
gene_3678860,4
G1-1A_GL0001502,4
G1-1A_GL0024702,4
gene_2210705,4
S-Fe11_GL0055470,4
gene_3698268,4
gene_3263069,4
NZ_CP021421.1_cds_WP_068961516.1_1275,4
gene_2819381,4
gene_3284514,4
HF-F_12_GL0127938,4
G1-1A_GL0117695,4
40_GL0047200,4
G1-1A_GL0096495,4
gene_4631543,4
MC-6-4_GL0041097,4
gene_4540147,4
Food_1_GL0062514,4
G1-1A_GL0117349,4
gene_3285020,4
gene_3736139,4
gene_258121,4
26_GL0080298,4
gene_2768095,4
MC-0-3_GL0026876,4
gene_4346219,4
MC-0-1_GL0069791,4
gene_4447500,4
gene_1663645,4
gene_3256930,4
S-Fe19_GL0032299,4
S-Fe10_GL0114265,4
MC-0-1_GL0020527,4
gene_4410670,4
gene_2929617,4
gene_3816028,4
G1-1A_GL0024844,4
gene_2920040,4
9_GL0035165,4
gene_3640918,4
Food_13_GL0004303,4
gene_4609307,4
22_GL0106290,4
AF73-05_1_GL0096943,4
4-1_GL0018259,4
gene_3275624,4
gene_396493,4
G1-1A_GL0096617,4
S-Fe9_GL0254052,4
gene_4094104,4
NZ_RAYH01000002.1_cds_271,4
gene_381349,4
gene_3435803,4
gene_3880223,4
gene_3397509,4
gene_3699824,4
gene_3380692,4
S-Fe10_GL0066459,4
gene_2369899,4
NZ_CP021421.1_cds_WP_068961672.1_1096,4
MC-0-3_GL0037133,4
gene_3955190,4
MC-0-1_GL0108621,4
S-Fe10_GL0163007,4
gene_2716111,4
G1-1A_GL0101241,4
gene_1942644,4
Food_5_GL0111228,4
gene_2827464,4
gene_3110007,4
gene_1224114,4
gene_3965811,4
gene_4162467,4
G1-1A_GL0101148,4
MC-6-2_GL0142941,4
gene_606516,4
S-Fe10_GL0031271,4
gene_3001993,4
gene_3730432,4
S-Fe10_GL0095995,4
gene_3979536,4
MC-0-1_GL0091145,4
gene_4589763,4
gene_3543411,4
S-Fe1_GL0055981,4
MH-6-4_GL0151897,4
gene_3607278,4
10_GL0031682,4
gene_4075143,4
gene_3114185,4
gene_4432969,4
gene_381361,4
gene_4376096,4
G1-1A_GL0093297,4
gene_4342314,4
G1-1A_GL0057333,4
gene_3652567,4
Chow_2_GL0275913,4
G1-1A_GL0039118,4
Chow_2_GL0290967,4
gene_4479104,4
gene_2324289,4
gene_3836240,4
S-Fe11_GL0048107,4
gene_4005351,4
MC-6-3_GL0038889,4
NZ_CP021421.1_cds_WP_068960910.1_1224,4
gene_2789108,4
gene_3548086,4
NZ_CP021421.1_cds_WP_068961110.1_1742,4
S-Fe7_GL0130772,4
1-8_GL0117385,4
G1-1A_GL0045727,4
gene_224794,4
1-1_GL0099197,4
NZ_CP021421.1_cds_WP_068961424.1_1371,4
gene_4154807,4
gene_2675605,4
gene_4093998,4
G1-1A_GL0015509,4
gene_187644,4
NZ_RAYT01000005.1_cds_WP_016273988.1_3660,4
gene_3094408,4
gene_3976461,4
gene_3293765,4
Food_8_GL0075767,4
AF73-05_1_GL0101799,4
22_GL0028271,4
gene_802490,4
gene_650618,4
gene_4359264,4
NZ_CP021421.1_cds_WP_068961812.1_943,4
S-Fe12_GL0029194,4
7-3_GL0068686,4
gene_3551923,4
gene_3907540,4
Chow_6_GL0114971,4
G1-1A_GL0059687,4
gene_4542836,4
gene_3347555,4
gene_4057207,4
gene_700972,4
NZ_CP021421.1_cds_WP_068959941.1_501,4
NZ_CP021421.1_cds_WP_068961207.1_1627,4
10_GL0073252,4
gene_3068756,4
gene_1305486,4
gene_4120111,4
MC-0-1_GL0091150,4
G1-1A_GL0049436,4
NZ_CP021421.1_cds_WP_068960437.1_2566,4
Chow_4_GL0261096,4
HF-F_3_GL0014329,4
S-Fe13_GL0106762,4
gene_4535976,4
DSM22607_8_GL0187553,4
HF-S_2_GL0007011,4
gene_3472135,4
G1-1A_GL0032200,4
G1-1A_GL0057387,4
gene_3061807,4
gene_2837977,4
gene_620685,4
gene_4548146,4
AF73-05_4_GL0331790,4
gene_3548300,4
gene_3263418,4
1-1_GL0145523,4
gene_3075018,4
gene_1478281,4
25_GL0097566,4
gene_4104330,4
gene_2499916,4
gene_2404359,4
MC-6-1_GL0014659,4
gene_3560877,4
MC-0-3_GL0029366,4
gene_1111118,4
gene_3622069,4
gene_4004626,4
G1-1A_GL0024850,4
MC-6-2_GL0009256,4
gene_508420,4
MC-6-3_GL0086895,4
16_GL0046068,4
gene_4117492,4
gene_3931031,4
G1-1A_GL0092963,4
gene_3257133,4
gene_3631690,4
gene_1575452,4
gene_3379345,4
MC-6-3_GL0096179,4
gene_3022806,4
4-1_GL0047195,4
gene_3266288,4
gene_3714818,4
S-Fe10_GL0024429,4
MC-0-1_GL0105745,4
gene_2325841,4
gene_127645,4
gene_4146328,4
gene_3842793,4
AF73-05_3_GL0285807,4
gene_4007779,4
Chow_1_GL0199000,4
MC-6-1_GL0042603,4
MC-6-1_GL0023114,4
G1-1A_GL0024973,4
gene_3590979,4
G1-1A_GL0045440,4
gene_4120535,4
gene_3323098,4
G1-1A_GL0063330,4
MH-6-2_GL0069996,4
6_GL0043930,4
gene_1138837,4
gene_790536,4
gene_3683914,4
40_GL0022934,4
G1-1A_GL0065761,4
gene_4452366,4
Chow_1_GL0122154,4
G1-1A_GL0061012,4
gene_4429798,4
gene_3626380,4
gene_4398430,4
gene_2801711,4
gene_4333199,4
gene_3716517,4
gene_3819653,4
HF-S_2_GL0251462,4
gene_2753703,4
1-1_GL0062411,4
G1-1A_GL0111241,4
S-Fe11_GL0106591,4
MC-6-2_GL0193511,4
G1-1A_GL0065695,4
gene_3185274,4
MC-6-2_GL0022593,4
