OTU,Kingdom,Phylum,Class,Order,Family,Genus
Otu301,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium
Otu302,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu303,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu304,Unclassified,NA,NA,NA,NA,
Otu305,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu306,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,A2
Otu307,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu308,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter
Otu309,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Otu310,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus
Otu311,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Anaerotruncus
Otu312,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu313,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu314,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu315,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu316,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu317,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus
Otu318,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu319,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu320,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
Otu321,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu322,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Otu323,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214 group
Otu324,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella
Otu325,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu326,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu327,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu328,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Otu329,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus
Otu330,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu331,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,
Otu332,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,UCG-009
Otu333,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu334,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu335,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu336,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,
Otu337,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu338,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas
Otu339,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu340,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,
Otu341,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu342,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu343,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,
Otu344,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu345,Bacteria,Bacteroidota,Bacteroidia,NA,NA,
Otu346,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu347,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu348,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Otu349,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu350,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
Otu351,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu352,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu353,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Subdoligranulum
Otu354,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,
Otu355,Unclassified,NA,NA,NA,NA,
Otu356,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu357,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister
Otu358,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu359,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis
Otu360,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu361,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu362,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu363,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu364,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu365,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu366,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu367,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu368,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu369,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu370,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu371,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu372,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu373,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu374,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu375,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured
Otu376,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio
Otu377,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] brachy group
Otu378,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia
Otu379,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu380,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
Otu381,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,
Otu382,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas
Otu383,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma
Otu384,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu385,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia
Otu386,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu387,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu388,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu389,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu390,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium
Otu391,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu392,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu393,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Otu394,Unclassified,NA,NA,NA,NA,
Otu395,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu396,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu397,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu398,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu399,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu400,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
Otu401,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu402,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu403,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
Otu404,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Otu405,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,
Otu406,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,
Otu407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,
Otu408,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Otu409,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu410,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Otu411,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu412,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,NA,
Otu413,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu414,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella
Otu415,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae UCG-011
Otu416,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tuzzerella
Otu417,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu418,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu419,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,vadinBE97,
Otu420,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu421,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,
Otu422,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira
Otu423,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group
Otu424,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu425,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu426,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium
Otu427,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu428,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group
Otu429,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu430,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu431,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu432,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu433,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu434,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] nodatum group
Otu435,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu436,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu437,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
Otu438,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,
Otu439,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu440,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Otu441,Unclassified,NA,NA,NA,NA,
Otu442,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu443,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group
Otu444,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu445,Bacteria,Firmicutes,Bacilli,NA,NA,
Otu446,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
Otu447,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu448,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,
Otu449,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu450,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu451,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu452,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu453,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus
Otu454,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu455,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured
Otu456,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,
Otu457,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu458,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
Otu459,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu460,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis
Otu461,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu462,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu463,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
Otu464,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu465,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu466,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu467,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu468,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,
Otu469,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,uncultured
Otu470,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu471,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,uncultured
Otu472,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,
Otu473,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
Otu474,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu475,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,
Otu476,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,
Otu477,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus
Otu478,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu479,Unclassified,NA,NA,NA,NA,
Otu480,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Otu481,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu482,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu483,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu484,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu485,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu486,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu487,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,
Otu488,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu489,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group
Otu490,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu491,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu492,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu493,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu494,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu495,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group
Otu496,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
Otu497,Bacteria,Firmicutes,NA,NA,NA,
Otu498,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu499,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu500,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu501,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,
Otu502,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu503,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,
Otu504,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu505,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
Otu506,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu507,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu508,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu509,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu510,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
Otu511,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu512,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu513,Unclassified,NA,NA,NA,NA,
Otu514,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister
Otu515,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured
Otu516,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
Otu517,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu518,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,uncultured,
Otu519,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu520,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu521,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu522,Unclassified,NA,NA,NA,NA,
Otu523,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Senegalimassilia
Otu524,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu525,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus
Otu526,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu527,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
Otu528,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu529,Unclassified,NA,NA,NA,NA,
Otu530,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,NA,
Otu531,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu532,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group
Otu533,Bacteria,Firmicutes,Bacilli,NA,NA,
Otu534,Bacteria,Firmicutes,Bacilli,Bacillales,Marinococcaceae,Natribacillus
Otu535,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
Otu536,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu537,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,uncultured
Otu538,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu539,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu540,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu541,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
Otu542,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
Otu543,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,
Otu544,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,uncultured
Otu545,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu546,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu547,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu548,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Otu549,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu550,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Intestinibacter
Otu551,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu552,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu553,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005
Otu554,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu555,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus
Otu556,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,uncultured
Otu557,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,
Otu558,Unclassified,NA,NA,NA,NA,
Otu559,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,uncultured
Otu560,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
Otu561,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
Otu562,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu563,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu564,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu565,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma
Otu566,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,NA,
Otu567,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,
Otu568,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu569,Unclassified,NA,NA,NA,NA,
Otu570,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu571,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu572,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu573,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu574,Bacteria,NA,NA,NA,NA,
Otu575,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu576,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Otu577,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu578,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu579,Unclassified,NA,NA,NA,NA,
Otu580,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu581,Bacteria,Firmicutes,Clostridia,Oscillospirales,NA,
Otu582,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu583,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu584,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Negativibacillus
Otu585,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,uncultured
Otu586,Unclassified,NA,NA,NA,NA,
Otu587,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,
Otu588,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter
Otu589,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis
Otu590,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,Peptococcus
Otu591,Unclassified,NA,NA,NA,NA,
Otu592,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu593,Bacteria,NA,NA,NA,NA,
Otu594,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu595,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu596,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
Otu597,Unclassified,NA,NA,NA,NA,
Otu598,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu599,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] ventriosum group
Otu600,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,
Otu601,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
Otu602,Bacteria,Firmicutes,Bacilli,RF39,NA,
Otu603,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu604,Bacteria,Firmicutes,Clostridia,NA,NA,
Otu605,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu606,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,Peptococcus
Otu607,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu608,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus
Otu609,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium
Otu610,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu611,Bacteria,Firmicutes,Clostridia,Clostridia vadinBB60 group,NA,
Otu612,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,
Otu613,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu614,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Otu615,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
Otu616,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,
Otu617,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,
Otu618,Unclassified,NA,NA,NA,NA,
